ticker,asset_class,obs,ann_return,ann_vol,ann_sharpe,hit_rate,avg_fwd21_when_long,avg_fwd21_when_short,latest_score,latest_signal
GC=F,commodity,272,0.5877,0.2514,2.338,0.5772,0.0472,,0.5931,1.0
SPY,equity,272,0.0886,0.1878,0.4718,0.5221,0.0128,0.0411,0.2166,1.0
EURUSD=X,fx,272,0.0322,0.0769,0.4191,0.489,0.0051,0.037,0.093,1.0
DX-Y.NYB,fx,272,0.0188,0.0713,0.2629,0.4669,-0.0317,-0.0029,-0.0734,-1.0
GBPUSD=X,fx,272,0.0044,0.0705,0.0618,0.489,0.0044,0.0188,0.0658,1.0
CL=F,commodity,272,-0.0197,0.3177,-0.0622,0.4632,-0.0252,-0.0033,-0.034,-1.0
^FVX,rates,272,-0.0666,0.2046,-0.3254,0.4669,-0.0253,-0.0037,-0.0695,-1.0
^TNX,rates,271,-0.115,0.1751,-0.657,0.4686,-0.0166,0.0076,-0.0213,-1.0
USDJPY=X,fx,272,-0.0678,0.0984,-0.6884,0.4853,-0.0012,0.0049,0.0336,1.0
